cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.8,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.24394733,-0.980319967,-0.130924941,-0.263801439,-1.496728067,-0.066039152,-0.319988684,-0.100249743,-0.158482043,-1.944386171,-1.411928248,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.8_cz=13.2.log
1.7,-0.7,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.223709505,-1.217312924,-0.134171678,-0.285235925,-1.645163047,-0.064166663,-0.33977533,-0.097318643,-0.155730412,-1.705160533,-1.422587133,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.7_cz=13.1.log
1.6,-0.9,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.220595173,-1.231208506,-0.126666658,-0.216874986,-1.582432128,-0.060375247,-0.283994711,-0.09301518,-0.141657873,-1.856531633,-1.37861437,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.9_cz=13.3.log
1.7,-0.7,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.203677503,-1.443690922,-0.117542663,-0.248289392,-1.582822439,-0.052458581,-0.312595361,-0.087880893,-0.142520071,-1.772611583,-1.321965277,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.7_cz=13.3.log
1.5,-0.9,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.199313799,-0.884017263,-0.135940001,-0.241370467,-1.556991617,-0.069421431,-0.30153738,-0.101467112,-0.154519317,-1.905660018,-1.443028271,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.9_cz=13.2.log
1.5,-0.7,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.190029788,-1.244285814,-0.117735936,-0.269215595,-1.468429876,-0.056769575,-0.325480652,-0.093865456,-0.155110432,-1.91202799,-1.288067187,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.7_cz=13.3.log
1.5,-0.8,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.1752011,-0.595578526,-0.140281116,-0.28236444,-1.42071527,-0.072985688,-0.333948272,-0.105744848,-0.165870973,-1.987561996,-1.493086626,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.8_cz=13.1.log
1.5,-0.8,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.173137846,-1.195538327,-0.122172432,-0.246256259,-1.508830225,-0.059676201,-0.306500984,-0.095037017,-0.151344744,-1.885273474,-1.321995397,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.8_cz=13.3.log
1.5,-0.7,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.160219926,-0.694747696,-0.134941005,-0.308988434,-1.320122907,-0.06934362,-0.355060218,-0.104391309,-0.17003764,-1.983520204,-1.460668832,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.7_cz=13.1.log
1.5,-0.9,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.138140986,-0.463875472,-0.145859679,-0.258131259,-1.515110345,-0.076872485,-0.314471617,-0.107047558,-0.161699914,-1.961569277,-1.520663808,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.9_cz=13.1.log
1.5,-0.9,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.121143623,-1.124765239,-0.12673694,-0.225781863,-1.544138957,-0.062724645,-0.2889671,-0.096165907,-0.14758847,-1.836960851,-1.353871023,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.9_cz=13.3.log
1.6,-0.8,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.38479948,-1.257924116,-0.129437743,-0.260025084,-1.595836996,-0.063532877,-0.313925683,-0.09649786,-0.15201367,-1.908144958,-1.417801742,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.6_cy=-0.8_cz=13.2.log
1.7,-0.9,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.381486227,-1.308443691,-0.133908124,-0.227940497,-1.673832724,-0.064436492,-0.290474379,-0.094323538,-0.142223886,-1.864873751,-1.430547097,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.7_cy=-0.9_cz=13.2.log
1.6,-0.9,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.376799982,-1.174791591,-0.134377501,-0.237630507,-1.632691914,-0.066854915,-0.296129499,-0.097642439,-0.148339599,-1.911756278,-1.447823702,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.6_cy=-0.9_cz=13.2.log
