theta,phi,r,z,E,status,machine_type,file_name,E1
50,70,4.4,0.0,-3.029509720799979,Done,1,C6_theta=50_phi=70_r=4.4_z=0.0.log,0.0
50,75,4.5,0.0,-2.649544885614887,Done,2,C6_theta=50_phi=75_r=4.5_z=0.0.log,0.0
50,80,4.7,0.0,-2.3335402623342816,Done,1,C6_theta=50_phi=80_r=4.7_z=0.0.log,0.0
50,85,4.7,0.0,-2.169436357129598,Done,2,C6_theta=50_phi=85_r=4.7_z=0.0.log,0.0
50,90,4.8,0.0,-2.0928657044423744,Done,1,C6_theta=50_phi=90_r=4.8_z=0.0.log,0.0
55,0,5.2,0.0,-1.5772639553179033,Done,2,C6_theta=55_phi=0_r=5.2_z=0.0.log,0.0
55,5,5.2,0.0,-1.604939656361239,Done,2,C6_theta=55_phi=5_r=5.2_z=0.0.log,0.0
55,10,5.1,0.0,-1.7477678349532653,Done,1,C6_theta=55_phi=10_r=5.1_z=0.0.log,0.0
55,15,5.0,0.0,-1.933619981718948,Done,2,C6_theta=55_phi=15_r=5.0_z=0.0.log,0.0
55,20,4.8,0.0,-2.1632233806303702,Done,1,C6_theta=55_phi=20_r=4.8_z=0.0.log,0.0
55,25,4.6,0.0,-2.250988184270682,Done,1,C6_theta=55_phi=25_r=4.6_z=0.0.log,0.0
55,30,4.6,0.0,-2.4391759232385084,Done,2,C6_theta=55_phi=30_r=4.6_z=0.0.log,0.0
55,35,4.7,0.0,-2.4802301374729723,Done,2,C6_theta=55_phi=35_r=4.7_z=0.0.log,0.0
55,40,4.7,0.0,-2.498882244719425,Done,2,C6_theta=55_phi=40_r=4.7_z=0.0.log,0.0
55,45,4.7,0.0,-2.543036985851358,Done,1,C6_theta=55_phi=45_r=4.7_z=0.0.log,0.0
55,50,4.6,0.0,-2.7920775070379023,Done,1,C6_theta=55_phi=50_r=4.6_z=0.0.log,0.0
55,55,4.5,0.0,-3.0948824575170875,Done,2,C6_theta=55_phi=55_r=4.5_z=0.0.log,0.0
55,60,4.4,0.0,-3.36719104956137,Done,1,C6_theta=55_phi=60_r=4.4_z=0.0.log,0.0
55,65,4.2,0.0,-3.347523631178774,Done,2,C6_theta=55_phi=65_r=4.2_z=0.0.log,0.0
55,70,4.3,0.0,-3.132494779449189,Done,2,C6_theta=55_phi=70_r=4.3_z=0.0.log,0.0
55,75,4.5,0.0,-2.783253461413551,Done,1,C6_theta=55_phi=75_r=4.5_z=0.0.log,0.0
55,80,4.6,0.0,-2.476918767148163,Done,2,C6_theta=55_phi=80_r=4.6_z=0.0.log,0.0
55,85,4.7,0.0,-2.27378938763286,Done,1,C6_theta=55_phi=85_r=4.7_z=0.0.log,0.0
55,90,4.7,0.0,-2.221594988310244,Done,2,C6_theta=55_phi=90_r=4.7_z=0.0.log,0.0
60,0,5.2,0.0,-1.5948480405495502,Done,1,C6_theta=60_phi=0_r=5.2_z=0.0.log,0.0
60,5,5.1,0.0,-1.6721742152876686,Done,2,C6_theta=60_phi=5_r=5.1_z=0.0.log,0.0
60,10,5.1,0.0,-1.7650438127457164,Done,1,C6_theta=60_phi=10_r=5.1_z=0.0.log,0.0
60,15,4.9,0.0,-1.954211094795028,Done,2,C6_theta=60_phi=15_r=4.9_z=0.0.log,0.0
60,20,4.8,0.0,-2.1093152515531983,Done,2,C6_theta=60_phi=20_r=4.8_z=0.0.log,0.0
60,25,4.7,0.0,-2.1891144432593137,Done,1,C6_theta=60_phi=25_r=4.7_z=0.0.log,0.0
60,30,4.8,0.0,-2.2595273403276224,Done,2,C6_theta=60_phi=30_r=4.8_z=0.0.log,0.0
60,35,4.8,0.0,-2.247415142279351,Done,1,C6_theta=60_phi=35_r=4.8_z=0.0.log,0.0
60,40,4.8,0.0,-2.2439795250538737,Done,2,C6_theta=60_phi=40_r=4.8_z=0.0.log,0.0
60,45,4.8,0.0,-2.279526084050304,Done,2,C6_theta=60_phi=45_r=4.8_z=0.0.log,0.0
60,50,4.7,0.0,-2.499127601069631,Done,1,C6_theta=60_phi=50_r=4.7_z=0.0.log,0.0
60,55,4.6,0.0,-2.7962943742750213,Done,2,C6_theta=60_phi=55_r=4.6_z=0.0.log,0.0
60,60,4.5,0.0,-3.1169501017429866,Done,1,C6_theta=60_phi=60_r=4.5_z=0.0.log,0.0
