theta,A2,b,z,E2,machine_type,status,file_name
30.0,10.0,5.7,-0.6,-6.05876592756249,3,Done,BTBT_theta=30_A2=10_b=5.7_z=-0.6_2.log
30.0,10.0,5.9,-0.4,-4.873361886944622,3,Done,BTBT_theta=30_A2=10_b=5.9_z=-0.4_2.log
30.0,10.0,6.1,-0.2,-3.730898355599493,3,Done,BTBT_theta=30_A2=10_b=6.1_z=-0.2_2.log
30.0,10.0,6.3,0.0,-3.1841928181238472,3,Done,BTBT_theta=30_A2=10_b=6.3_z=0.0_2.log
30.0,10.0,6.4,0.2,-3.087393125751987,3,Done,BTBT_theta=30_A2=10_b=6.4_z=0.2_2.log
30.0,10.0,6.4,0.4,-3.299717409070581,3,Done,BTBT_theta=30_A2=10_b=6.4_z=0.4_2.log
30.0,10.0,6.3,0.6,-3.74277084483765,3,Done,BTBT_theta=30_A2=10_b=6.3_z=0.6_2.log
30.0,10.0,6.2,0.8,-4.288510016631335,3,Done,BTBT_theta=30_A2=10_b=6.2_z=0.8_2.log
30.0,10.0,6.2,1.0,-4.597790870349854,3,Done,BTBT_theta=30_A2=10_b=6.2_z=1.0_2.log
60.0,-10.0,8.5,-1.0,-0.2282567622605711,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=-1.0_2.log
60.0,-10.0,8.5,-0.8,-0.2271837200969457,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=-0.8_2.log
60.0,-10.0,8.5,-0.6,-0.2265248347539454,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=-0.6_2.log
60.0,-10.0,8.5,-0.4,-0.2261671542655676,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=-0.4_2.log
60.0,-10.0,8.5,-0.2,-0.2260730280540883,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=-0.2_2.log
60.0,-10.0,8.5,0.0,-0.2261608790140599,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=0.0_2.log
60.0,-10.0,8.5,0.2,-0.2262424554210156,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=0.2_2.log
60.0,-10.0,8.5,0.4,-0.2261671542655676,3,Done,BTBT_theta=60_A2=-10_b=8.5_z=0.4_2.log
60.0,-10.0,8.4,0.6,-0.2442959181498736,3,Done,BTBT_theta=60_A2=-10_b=8.4_z=0.6_2.log
60.0,-10.0,8.4,0.8,-0.2435052555520087,3,Done,BTBT_theta=60_A2=-10_b=8.4_z=0.8_2.log
60.0,-10.0,8.4,1.0,-0.2422565105371177,3,Done,BTBT_theta=60_A2=-10_b=8.4_z=1.0_2.log
60.0,-8.0,8.4,-1.0,-0.2443523942492902,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=-1.0_2.log
60.0,-8.0,8.4,-0.8,-0.2438692112918943,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=-0.8_2.log
60.0,-8.0,8.4,-0.6,-0.2437813598662614,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=-0.6_2.log
60.0,-8.0,8.4,-0.4,-0.2439445126801729,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=-0.4_2.log
60.0,-8.0,8.4,-0.2,-0.2442959179170429,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=-0.2_2.log
60.0,-8.0,8.4,0.0,-0.2447853756602853,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=0.0_2.log
60.0,-8.0,8.4,0.2,-0.2451556066516786,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=0.2_2.log
60.0,-8.0,8.4,0.4,-0.2452811086550355,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=0.4_2.log
60.0,-8.0,8.4,0.6,-0.2451430563814938,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=0.6_2.log
60.0,-8.0,8.4,0.8,-0.2446096732746809,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=0.8_2.log
60.0,-8.0,8.4,1.0,-0.2436684079002589,3,Done,BTBT_theta=60_A2=-8_b=8.4_z=1.0_2.log
60.0,-6.0,8.3,-1.0,-0.2619163990020752,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=-1.0_2.log
60.0,-6.0,8.3,-0.8,-0.2621548529714346,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=-0.8_2.log
60.0,-6.0,8.3,-0.6,-0.2627196116372943,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=-0.6_2.log
60.0,-6.0,8.3,-0.4,-0.2634788986761123,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=-0.4_2.log
60.0,-6.0,8.3,-0.2,-0.26435741269961,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=-0.2_2.log
60.0,-6.0,8.3,0.0,-0.265292402356863,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=0.0_2.log
