a,b,theta,E,E_p1,E_p2,E_t1,machine_type,status,file_name
7.3,8.4,10,-23.09757633227855,-0.3178149894811213,-0.2424698639661073,-5.494251656346023,3,Done,DBTP_theta=10_a=7.3_b=8.4.log
3.7,16.4,10,-17.63245368981734,-0.0023343369830399,-7.402107959846035,-0.7058922740397975,3,Done,DBTP_theta=10_a=3.7_b=16.4.log
3.9,16.4,10,-18.479039980098605,-0.0023343369830399,-7.696799205848947,-0.7701932236086577,3,Done,DBTP_theta=10_a=3.9_b=16.4.log
4.1,16.0,10,-16.690485879778862,-0.0029681222513318,-7.0772146575618535,-0.6325300800381228,3,Done,DBTP_theta=10_a=4.1_b=16.0.log
4.1,16.2,10,-17.16124388249591,-0.0026292670518159,-7.0772146575618535,-0.7503890083171427,3,Done,DBTP_theta=10_a=4.1_b=16.2.log
4.1,16.4,10,-17.44458974665031,-0.0023343369830399,-7.0772146575618535,-0.8213729393901303,3,Done,DBTP_theta=10_a=4.1_b=16.4.log
9.4,6.3,35,-23.82757126679644,-3.099805273581296,-0.0873995928559452,-4.363290383480489,3,Done,DBTP_theta=35_a=9.4_b=6.3.log
9.2,6.1,35,-23.207101928070188,-3.3298818150069565,-0.1044051137287169,-4.08463201764971,3,Done,DBTP_theta=35_a=9.2_b=6.1.log
9.2,6.3,35,-23.84519174695015,-3.099805273581296,-0.1044051137287169,-4.359192743082531,3,Done,DBTP_theta=35_a=9.2_b=6.3.log
9.2,6.5,35,-23.979152580257505,-2.824830391211435,-0.1044051137287169,-4.5301703925943,3,Done,DBTP_theta=35_a=9.2_b=6.5.log
9.4,6.1,35,-23.55840712692589,-3.3298818150069565,-0.0873995928559452,-4.180961077800021,3,Done,DBTP_theta=35_a=9.4_b=6.1.log
9.4,6.5,35,-23.668459829874337,-2.824830391211435,-0.0873995928559452,-4.460999965434894,3,Done,DBTP_theta=35_a=9.4_b=6.5.log
9.6,6.1,35,-23.47855020454153,-3.3298818150069565,-0.0732492425013333,-4.168072022381239,3,Done,DBTP_theta=35_a=9.6_b=6.1.log
9.6,6.3,35,-23.464280627202243,-3.099805273581296,-0.0732492425013333,-4.279542898759246,3,Done,DBTP_theta=35_a=9.6_b=6.3.log
9.6,6.5,35,-23.08802563138306,-2.824830391211435,-0.0732492425013333,-4.322966590989381,3,Done,DBTP_theta=35_a=9.6_b=6.5.log
3.7,16.3,15,-19.54088730318472,-0.0030496986582875,-8.235202786279842,-0.7660955833271146,3,Done,DBTP_theta=15_a=3.7_b=16.3.log
3.9,16.3,15,-20.14634660258889,-0.0030496986582875,-8.430979631375521,-0.8195719856303185,3,Done,DBTP_theta=15_a=3.9_b=16.3.log
4.1,15.9,15,-18.276630357373502,-0.0037838853895664,-7.695801465306431,-0.7193649139953777,3,Done,DBTP_theta=15_a=4.1_b=15.9.log
4.1,16.1,15,-18.642606738954782,-0.0033885538578033,-7.695801465306431,-0.8110566751565784,3,Done,DBTP_theta=15_a=4.1_b=16.1.log
4.1,16.3,15,-18.84117600275204,-0.0030496986582875,-7.695801465306431,-0.8608684187056497,3,Done,DBTP_theta=15_a=4.1_b=16.3.log
7.3,7.8,20,-22.753826356027275,-0.3298631818033755,-0.3223142363131046,-5.362367879948579,3,Done,DBTP_theta=20_a=7.3_b=7.8.log
7.3,8.0,20,-23.62612800532952,-0.7732680230401456,-0.3223142363131046,-5.358740871655755,3,Done,DBTP_theta=20_a=7.3_b=8.0.log
7.3,8.2,20,-23.764983418863267,-0.9492092768196017,-0.3223142363131046,-5.305484098149464,3,Done,DBTP_theta=20_a=7.3_b=8.2.log
3.6,16.0,20,-18.99466494983062,-0.0041478413622826,-8.006676194490865,-0.7432542195310816,3,Done,DBTP_theta=20_a=3.6_b=16.0.log
3.8,16.0,20,-21.71655232505873,-0.0041478413622826,-9.233006437309086,-0.8105609419289976,3,Done,DBTP_theta=20_a=3.8_b=16.0.log
4.0,15.6,20,-20.506010233890265,-0.0050891062710434,-8.874899030197412,-0.6865084902383387,3,Done,DBTP_theta=20_a=4.0_b=15.6.log
4.0,15.8,20,-20.954466530121863,-0.0045933732762932,-8.874899030197412,-0.7988704307936132,3,Done,DBTP_theta=20_a=4.0_b=15.8.log
4.0,16.0,20,-21.216150750871748,-0.0041478413622826,-8.874899030197412,-0.8645142519380897,3,Done,DBTP_theta=20_a=4.0_b=16.0.log
7.9,7.5,25,-23.653286639600992,-0.9483056624885648,-0.2135918538551777,-5.332372901728377,3,Done,DBTP_theta=25_a=7.9_b=7.5.log
7.9,7.7,25,-23.989619448781013,-1.1413340133149177,-0.2135918538551777,-5.319941928610206,3,Done,DBTP_theta=25_a=7.9_b=7.7.log
7.9,7.9,25,-23.841828294098377,-1.1730232685804367,-0.2135918538551777,-5.267149512306787,3,Done,DBTP_theta=25_a=7.9_b=7.9.log
8.1,7.9,25,-23.281235959846526,-1.1730232685804367,-0.1749372377526015,-5.1463287367951125,3,Done,DBTP_theta=25_a=8.1_b=7.9.log
8.3,7.9,25,-22.42024204041809,-1.1730232685804367,-0.1432354326825589,-4.946931159473024,3,Done,DBTP_theta=25_a=8.3_b=7.9.log
3.8,15.6,25,-22.018685840070248,-0.0054342364892363,-9.344973046565428,-0.8294678184902295,3,Done,DBTP_theta=25_a=3.8_b=15.6.log
4.0,15.6,25,-22.35627366928384,-0.0054342364892363,-9.383483335142955,-0.8946096315048635,3,Done,DBTP_theta=25_a=4.0_b=15.6.log
4.2,15.2,25,-20.37753383629024,-0.0066390559077262,-8.545631983317435,-0.8182479394599795,3,Done,DBTP_theta=25_a=4.2_b=15.2.log
4.2,15.4,25,-20.71011413773521,-0.0059989956207573,-8.545631983317435,-0.9017130449647084,3,Done,DBTP_theta=25_a=4.2_b=15.4.log
4.2,15.6,25,-20.88154986826703,-0.0054342364892363,-8.545631983317435,-0.9448543571634218,3,Done,DBTP_theta=25_a=4.2_b=15.6.log
8.4,6.9,30,-23.48929317528382,-1.616039053304121,-0.1666980313602835,-4.980954751488753,3,Done,DBTP_theta=30_a=8.4_b=6.9.log
8.4,7.1,30,-23.9809849113226,-1.6820280046667904,-0.1666980313602835,-5.070883209817112,3,Done,DBTP_theta=30_a=8.4_b=7.1.log
8.4,7.3,30,-24.01031472766772,-1.635485588107258,-0.1666980313602835,-5.101486872183159,3,Done,DBTP_theta=30_a=8.4_b=7.3.log
6.9,8.2,10,-22.5348128140904,0.5071975078899413,-0.3773029376752674,-5.698650488629937,3,Done,DBTP_theta=10_a=6.9_b=8.2.log
7.1,8.2,10,-22.75332434568554,0.5071975078899413,-0.3025727716740221,-5.790643454529345,3,Done,DBTP_theta=10_a=7.1_b=8.2.log
7.3,8.2,10,-22.317179795820262,0.5071975078899413,-0.2424698639661073,-5.711658770916984,3,Done,DBTP_theta=10_a=7.3_b=8.2.log
3.7,16.6,10,-17.960641420911998,-0.0020707831718027,-7.402107959846035,-0.7880709837190807,3,Done,DBTP_theta=10_a=3.7_b=16.6.log
3.9,16.6,10,-18.70368856145069,-0.0020707831718027,-7.696799205848947,-0.8264871458522975,3,Done,DBTP_theta=10_a=3.9_b=16.6.log
4.1,16.6,10,-17.577571666799486,-0.0020707831718027,-7.0772146575618535,-0.8547501963330433,3,Done,DBTP_theta=10_a=4.1_b=16.6.log
3.9,15.1,30,-20.995154278352857,-0.0068022082559764,-8.699547636089846,-0.8956136474153027,3,Done,DBTP_theta=30_a=3.9_b=15.1.log
4.1,15.1,30,-22.034549293108284,-0.0068022082559764,-9.071780293015763,-0.9693460726412012,3,Done,DBTP_theta=30_a=4.1_b=15.1.log
4.3,14.7,30,-20.64566885959357,-0.0083145073149353,-8.483583794441074,-0.9154680640203878,3,Done,DBTP_theta=30_a=4.3_b=14.7.log
4.3,14.9,30,-20.942104583606124,-0.0075112949125468,-8.483583794441074,-0.9899786012247204,3,Done,DBTP_theta=30_a=4.3_b=14.9.log
4.3,15.1,30,-21.08380889100954,-0.0068022082559764,-8.483583794441074,-1.0257592214038596,3,Done,DBTP_theta=30_a=4.3_b=15.1.log
9.0,6.3,35,-23.3815622581169,-3.099805273581296,-0.1248493893072009,-4.233063233084977,3,Done,DBTP_theta=35_a=9.0_b=6.3.log
9.0,6.5,35,-23.902571260463446,-2.824830391211435,-0.1248493893072009,-4.500802924856544,3,Done,DBTP_theta=35_a=9.0_b=6.5.log
9.0,6.7,35,-23.97457175794989,-2.5306348784361035,-0.1248493893072009,-4.66590080561582,3,Done,DBTP_theta=35_a=9.0_b=6.7.log
9.2,6.7,35,-23.742142054252326,-2.5306348784361035,-0.1044051137287169,-4.618015517480671,3,Done,DBTP_theta=35_a=9.2_b=6.7.log
9.4,6.7,35,-23.20285996235907,-2.5306348784361035,-0.0873995928559452,-4.491697754943743,3,Done,DBTP_theta=35_a=9.4_b=6.7.log
3.7,16.5,15,-19.78001881437376,-0.0027359437663108,-8.235202786279842,-0.8260353385703638,3,Done,DBTP_theta=15_a=3.7_b=16.5.log
3.9,16.5,15,-20.293359646573663,-0.0027359437663108,-8.430979631375521,-0.8564821240724996,3,Done,DBTP_theta=15_a=3.9_b=16.5.log
4.1,16.5,15,-18.908369773998857,-0.0027359437663108,-7.695801465306431,-0.8778237389633432,3,Done,DBTP_theta=15_a=4.1_b=16.5.log
4.3,14.0,35,-20.28557852050289,-0.0106425695121288,-8.298311466816813,-0.916917611961253,3,Done,DBTP_theta=35_a=4.3_b=14.0.log
4.1,13.8,35,-17.392129911575466,-0.0118599387351423,-7.717387809418142,-0.4834086038172245,3,Done,DBTP_theta=35_a=4.1_b=13.8.log
4.1,14.0,35,-18.3598256316036,-0.0106425695121288,-7.717387809418142,-0.7259412184357643,3,Done,DBTP_theta=35_a=4.1_b=14.0.log
4.1,14.2,35,-19.02540038805455,-0.0095820778515189,-7.717387809418142,-0.892865153378807,3,Done,DBTP_theta=35_a=4.1_b=14.2.log
4.3,13.8,35,-19.600588604807854,-0.0118599387351423,-8.298311466816813,-0.7450614484259859,3,Done,DBTP_theta=35_a=4.3_b=13.8.log
4.3,14.2,35,-20.732177388854325,-0.0095820778515189,-8.298311466816813,-1.0290975748794151,3,Done,DBTP_theta=35_a=4.3_b=14.2.log
4.5,13.8,35,-19.728901848662645,-0.0118599387351423,-7.9384093813132495,-0.9570908021414652,3,Done,DBTP_theta=35_a=4.5_b=13.8.log
4.5,14.0,35,-20.177169892005622,-0.0106425695121288,-7.9384093813132495,-1.0697664975887164,3,Done,DBTP_theta=35_a=4.5_b=14.0.log
4.5,14.2,35,-20.440385238733143,-0.0095820778515189,-7.9384093813132495,-1.1361005801009014,3,Done,DBTP_theta=35_a=4.5_b=14.2.log
3.6,16.2,20,-19.304265832528472,-0.0037525098305195,-8.006676194490865,-0.8208521059714258,3,Done,DBTP_theta=20_a=3.6_b=16.2.log
3.8,16.2,20,-21.92183594685048,-0.0037525098305195,-9.233006437309086,-0.8620795131428167,3,Done,DBTP_theta=20_a=3.8_b=16.2.log
