a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
5.8,8.2,61.5,5,-11,80.0,-52.7543264424894,-0.4636671389453113,-7.2901915514376014,-9.265950712026097,-9.35735381883569,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-11,80.1,-52.77293838839978,-0.4635730122681707,-7.291044965037145,-9.27600342221558,-9.355847794678994,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-11,79.0,-52.67573709064163,-0.4268197518540546,-7.282121772877872,-9.21642134792637,-9.41250567266252,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-11,80.0,-52.8604383834172,-0.4261169404489919,-7.2901915514376014,-9.307341271894984,-9.406569427927025,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-11,80.1,-52.87595043098554,-0.4260353643912822,-7.291044965037145,-9.31508474505972,-9.405810141004622,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-11,79.0,-52.58366882381961,-0.3927773342002183,-7.282121772877872,-9.220155032468028,-9.396780272363683,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-11,80.0,-52.7367812639568,-0.3921058987034485,-7.2901915514376014,-9.289187407586724,-9.396905774250628,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-11,80.1,-52.74960756767541,-0.3920368724502623,-7.291044965037145,-9.294941674452277,-9.396780271898024,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-11,79.0,-52.591763701988384,-0.4644264259841293,-7.099233983433805,-9.269263965077698,-9.46295747649856,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-11,80.0,-52.7841080671642,-0.4636671389453113,-7.106751553248614,-9.365818928694353,-9.45581641269382,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-11,80.1,-52.800084471702576,-0.4635730122681707,-7.107529665576294,-9.374026759527624,-9.4549127984792,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
